                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM52304v1:Chromosome:1:4043042:1 REF
Sequence file: seq.fna
Sequence length: 4043042
GC Content:  43.89%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Staphylococcus_aureus_Mu50
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

     326      1750  direct      fr 2   0.67  0.00  
     353      1750  direct      fr 2   0.68  0.00  
     410      1750  direct      fr 2   0.71  0.66  
     491      1750  direct      fr 2   0.74  0.08  
     677      1750  direct      fr 2   0.76  0.09  
     737      1750  direct      fr 2   0.75  0.00  

    1816      3075  direct      fr 1   0.69  0.00  
    1939      3075  direct      fr 1   0.76  0.99  
    2209      3075  direct      fr 1   0.75  0.87  
    2395      3075  direct      fr 1   0.72  0.09  
    2443      3075  direct      fr 1   0.72  0.35  
    2542      3075  direct      fr 1   0.68  0.03  

    3205      3420  direct      fr 1   0.54  0.96  
    3235      3420  direct      fr 1   0.61  0.08  
    3271      3420  direct      fr 1   0.58  0.06  
    3289      3420  direct      fr 1   0.50  0.02  

    3778      4548  direct      fr 1   0.56  0.54  
    3823      4548  direct      fr 1   0.59  0.00  
    3844      4548  direct      fr 1   0.61  0.00  
    3964      4548  direct      fr 1   0.74  0.95  
    4213      4548  direct      fr 1   0.61  0.00  
    4255      4548  direct      fr 1   0.56  0.28  

    4851      6782  direct      fr 3   0.81  0.99  
    4860      6782  direct      fr 3   0.81  0.94  
    4866      6782  direct      fr 3   0.81  0.35  
    4947      6782  direct      fr 3   0.82  0.03  
    5127      6782  direct      fr 3   0.81  0.00  
    5154      6782  direct      fr 3   0.81  0.00  

    6779      6892  complement  fr 1   0.58  0.85  

    6969      9458  direct      fr 3   0.84  0.28  
    6993      9458  direct      fr 3   0.85  0.89  
    7044      9458  direct      fr 3   0.86  0.01  
    7071      9458  direct      fr 3   0.86  0.39  
    7083      9458  direct      fr 3   0.86  0.08  

   14846     15571  complement  fr 1   0.51  0.77  

   15914     17380  direct      fr 2   0.94  0.83  
   15959     17380  direct      fr 2   0.95  0.11  
   16001     17380  direct      fr 2   0.95  0.26  
   16064     17380  direct      fr 2   0.95  0.11  

