                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM73042v1:Chromosome:1:6064456:1 REF
Sequence file: seq.fna
Sequence length: 6064456
GC Content:  60.13%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Escherichia_coli_K_12_substr__MG1655
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

       2        88  complement  fr 1   0.79  ....  

     422      2314  direct      fr 2   0.89  0.79  
     497      2314  direct      fr 2   0.89  0.04  
     503      2314  direct      fr 2   0.89  0.02  
     551      2314  direct      fr 2   0.89  0.02  

    2359      3537  complement  fr 3   0.75  0.00  
    2359      3525  complement  fr 3   0.76  0.00  
    2359      3441  complement  fr 3   0.82  0.00  
    2359      3375  complement  fr 3   0.86  0.61  
    2359      3330  complement  fr 3   0.89  0.02  
    2359      3204  complement  fr 3   0.89  0.00  
    2359      3192  complement  fr 3   0.89  0.02  
    2359      3153  complement  fr 3   0.88  0.05  

    3359      4117  complement  fr 1   0.72  0.88  
    3359      4009  complement  fr 1   0.73  0.67  
    3359      3985  complement  fr 1   0.75  0.27  
    3359      3931  complement  fr 1   0.78  0.82  
    3359      3913  complement  fr 1   0.78  0.85  

    3953      4111  direct      fr 2   0.53  0.13  

    4150      5625  complement  fr 3   0.90  0.11  
    4150      5598  complement  fr 3   0.91  0.62  
    4150      5535  complement  fr 3   0.92  0.00  
    4150      5298  complement  fr 3   0.92  0.47  
    4150      5193  complement  fr 3   0.91  0.03  

    5601      6707  complement  fr 2   0.85  0.34  
    5601      6668  complement  fr 2   0.88  0.74  
    5601      6638  complement  fr 2   0.87  0.49  
    5601      6635  complement  fr 2   0.87  0.10  

    6824      7711  complement  fr 1   0.73  0.91  
    6824      7519  complement  fr 1   0.78  0.05  
    6824      7483  complement  fr 1   0.77  0.01  
    6824      7477  complement  fr 1   0.77  0.00  

    8063     10420  direct      fr 2   0.86  0.74  
    8177     10420  direct      fr 2   0.87  0.08  
    8189     10420  direct      fr 2   0.87  0.57  
    8192     10420  direct      fr 2   0.87  0.38  

   10472     11104  direct      fr 2   0.81  0.52  
   10541     11104  direct      fr 2   0.80  0.75  
   10589     11104  direct      fr 2   0.79  0.02  
