                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM2732v1:Chromosome:1:580076:1 REF
Sequence file: seq.fna
Sequence length: 580076
GC Content:  31.69%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Staphylococcus_aureus_Mu50
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

     686      1828  direct      fr 2   0.50  0.14  
     734      1828  direct      fr 2   0.52  0.07  
    1025      1828  direct      fr 2   0.53  0.39  
    1391      1828  direct      fr 2   0.55  0.20  
    1403      1828  direct      fr 2   0.54  0.05  
    1415      1828  direct      fr 2   0.53  0.03  

    1828      2073  direct      fr 1   0.59  0.40  

    2845      2979  direct      fr 1   0.80  0.55  
    2932      2979  direct      fr 1   0.76  0.02  

    3010      3255  direct      fr 1   0.69  0.14  

    3388      3513  direct      fr 1   0.51  0.00  

    3739      4557  direct      fr 1   0.81  0.63  
    3976      4557  direct      fr 1   0.77  0.20  

    4645      4797  direct      fr 1   0.63  0.92  

    4812      7322  direct      fr 3   0.80  1.00  
    4911      7322  direct      fr 3   0.81  0.29  
    4923      7322  direct      fr 3   0.81  0.06  
    5016      7322  direct      fr 3   0.80  0.00  

    7294      7857  direct      fr 1   0.79  0.69  
    7405      7857  direct      fr 1   0.87  0.08  

    8179      8295  direct      fr 1   0.77  0.12  
    8254      8295  direct      fr 1   0.50  0.03  

    8296      8547  direct      fr 1   0.62  0.00  
    8368      8547  direct      fr 1   0.75  0.41  

    8551      9183  direct      fr 1   0.77  0.70  
    8731      9183  direct      fr 1   0.81  0.13  
    8929      9183  direct      fr 1   0.70  0.01  
    8932      9183  direct      fr 1   0.70  0.01  

    9923     11059  direct      fr 2   0.80  0.51  
   10058     11059  direct      fr 2   0.83  0.75  
   10112     11059  direct      fr 2   0.83  0.03  
   10187     11059  direct      fr 2   0.83  0.00  
   10286     11059  direct      fr 2   0.89  0.58  
   10379     11059  direct      fr 2   0.89  0.06  

   11251     11892  direct      fr 1   0.68  0.07  
   11599     11892  direct      fr 1   0.75  0.19  
   11638     11892  direct      fr 1   0.72  0.33  
   11707     11892  direct      fr 1   0.70  0.04  

