                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM59796v1:Chromosome:1:2764699:1 REF
Sequence file: seq.fna
Sequence length: 2764699
GC Content:  32.92%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Staphylococcus_aureus_Mu50
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

       1       150  complement  fr 3   0.75  0.88  

     993      1190  complement  fr 2   0.64  0.99  

    1363      3711  complement  fr 3   0.95  0.76  
    1363      3612  complement  fr 3   0.96  0.04  
    1363      3609  complement  fr 3   0.96  0.13  
    1363      3573  complement  fr 3   0.96  0.37  

    3721      5433  complement  fr 3   0.96  0.92  
    3721      5385  complement  fr 3   0.96  0.05  
    3721      5007  complement  fr 3   0.95  0.01  
    3721      4962  complement  fr 3   0.95  0.00  

    5506      6027  complement  fr 3   0.53  0.04  
    5506      5994  complement  fr 3   0.56  0.35  
    5506      5949  complement  fr 3   0.58  0.48  
    5506      5676  complement  fr 3   0.52  0.05  
    5506      5670  complement  fr 3   0.52  0.04  

    6028      6294  complement  fr 3   0.66  0.57  
    6028      6117  complement  fr 3   0.53  0.05  

    6646      7602  direct      fr 1   0.86  0.74  
    6664      7602  direct      fr 1   0.88  0.56  
    6712      7602  direct      fr 1   0.91  0.43  
    6754      7602  direct      fr 1   0.91  0.04  
    6814      7602  direct      fr 1   0.90  0.03  

    8034     10436  complement  fr 2   0.96  0.79  
    8034     10343  complement  fr 2   0.98  0.00  
    8034     10085  complement  fr 2   0.97  0.01  
    8034      9947  complement  fr 2   0.97  0.00  

   10436     11494  complement  fr 1   0.90  1.00  
   10436     11476  complement  fr 1   0.91  1.00  
   10436     11401  complement  fr 1   0.92  0.00  
   10436     11362  complement  fr 1   0.91  0.07  
   10436     11353  complement  fr 1   0.91  0.21  

   11874     12035  complement  fr 2   0.67  0.98  

   12096     12227  complement  fr 2   0.64  0.95  
   12096     12212  complement  fr 2   0.60  0.10  

   12247     12396  complement  fr 3   0.69  0.01  
   12247     12366  complement  fr 3   0.64  0.26  

   13004     13327  complement  fr 1   0.74  0.84  
   13004     13318  complement  fr 1   0.77  0.96  
   13004     13216  complement  fr 1   0.74  0.02  
