                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM690v1:Chromosome:1:4016947:1 REF
Sequence file: seq.fna
Sequence length: 4016947
GC Content:  67.21%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Staphylococcus_aureus_Mu50
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

     351       479  direct      fr 3   0.51  0.04  

    9106      9252  direct      fr 1   0.81  0.61  

   21531     22166  complement  fr 2   0.59  0.76  
   21531     22076  complement  fr 2   0.54  0.00  
   21531     21773  complement  fr 2   0.70  0.96  

   26215     26673  direct      fr 1   0.52  0.00  

   27608     27970  complement  fr 1   0.65  0.52  

   30577     32145  direct      fr 1   0.52  0.59  
   30643     32145  direct      fr 1   0.52  0.00  
   30889     32145  direct      fr 1   0.56  0.68  
   31195     32145  direct      fr 1   0.54  0.00  

   33966     34040  direct      fr 3   0.74  0.06  
   34002     34040  direct      fr 3   0.55  0.00  

   40197     40385  complement  fr 2   0.56  0.00  

   41769     41963  direct      fr 3   0.60  0.95  
   41820     41963  direct      fr 3   0.78  0.04  

   48998     49624  direct      fr 2   0.52  0.04  

   49929     50114  direct      fr 3   0.53  0.00  
   50010     50114  direct      fr 3   0.66  0.09  

   50237     50644  complement  fr 1   0.62  0.00  

   52074     52235  direct      fr 3   0.57  0.01  

   52706     52927  complement  fr 1   0.52  0.91  

   64497     65525  complement  fr 2   0.60  0.87  

   67078     67239  direct      fr 1   0.68  0.22  

   85259     86092  complement  fr 1   0.65  0.16  
   85259     85714  complement  fr 1   0.63  0.12  

   99706     99780  direct      fr 1   0.67  0.01  
   99712     99780  direct      fr 1   0.69  0.01  

  101308    101940  direct      fr 1   0.58  0.00  
  101443    101940  direct      fr 1   0.67  0.02  
  101494    101940  direct      fr 1   0.72  0.06  
  101680    101940  direct      fr 1   0.62  0.01  

  110185    110550  complement  fr 3   0.58  0.01  
  110185    110523  complement  fr 3   0.62  0.99  

  111130    111261  complement  fr 3   0.52  0.97  

  120212    120508  complement  fr 1   0.56  0.00  

  125935    126144  direct      fr 1   0.57  0.07  

  133523    133648  complement  fr 1   0.61  0.07  

