                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM59796v1:Chromosome:1:2764699:1 REF
Sequence file: seq.fna
Sequence length: 2764699
GC Content:  32.92%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Escherichia_coli_K_12_substr__MG1655
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

   50088     50840  complement  fr 2   0.56  0.06  
   50088     50816  complement  fr 2   0.55  0.56  
   50088     50780  complement  fr 2   0.54  0.01  

  218824    218943  complement  fr 3   0.53  0.66  

  223463    223603  complement  fr 1   0.57  0.28  

  229129    229347  complement  fr 3   0.51  0.16  

  238319    238453  complement  fr 1   0.53  0.13  

  311865    313040  complement  fr 2   0.52  0.61  
  311865    313001  complement  fr 2   0.54  0.03  
  311865    312992  complement  fr 2   0.54  0.01  
  311865    312899  complement  fr 2   0.54  0.07  
  311865    312881  complement  fr 2   0.54  0.29  
  311865    312863  complement  fr 2   0.54  0.41  

  355481    356803  complement  fr 1   0.51  0.18  
  355481    356701  complement  fr 1   0.52  0.01  
  355481    356623  complement  fr 1   0.55  0.79  
  355481    356539  complement  fr 1   0.52  0.66  

  414451    414954  complement  fr 3   0.53  0.94  
  414451    414951  complement  fr 3   0.53  0.94  
  414451    414939  complement  fr 3   0.52  0.03  

  448385    448546  direct      fr 2   0.56  0.08  
  448391    448546  direct      fr 2   0.56  0.01  
  448460    448546  direct      fr 2   0.51  0.59  

  462036    462167  complement  fr 2   0.50  0.49  

  473855    474082  complement  fr 1   0.51  0.28  

  534472    534603  direct      fr 1   0.62  0.42  

  545871    546038  direct      fr 3   0.54  0.46  

  553550    554206  direct      fr 2   0.75  0.30  

  573998    575182  complement  fr 1   0.51  0.99  
  573998    575038  complement  fr 1   0.53  0.58  
  573998    574909  complement  fr 1   0.54  0.40  
  573998    574888  complement  fr 1   0.53  0.62  
  573998    574846  complement  fr 1   0.51  0.19  

  577603    577983  complement  fr 3   0.55  0.00  
  577603    577866  complement  fr 3   0.62  0.04  

  587350    587679  complement  fr 3   0.53  0.01  

  588533    589225  complement  fr 1   0.51  0.08  

  640816    641469  complement  fr 3   0.50  0.01  
