                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM690v1:Chromosome:1:4016947:1 REF
Sequence file: seq.fna
Sequence length: 4016947
GC Content:  67.21%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Escherichia_coli_K_12_substr__MG1655
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

     202      1107  direct      fr 1   0.90  0.19  
     337      1107  direct      fr 1   0.89  0.36  
     349      1107  direct      fr 1   0.89  0.24  

    1104      1703  direct      fr 3   0.65  0.41  
    1152      1703  direct      fr 3   0.68  0.28  
    1278      1703  direct      fr 3   0.81  0.02  
    1317      1703  direct      fr 3   0.87  0.93  
    1440      1703  direct      fr 3   0.83  0.01  

    1700      2557  direct      fr 2   0.79  0.47  
    1766      2557  direct      fr 2   0.78  0.32  
    1775      2557  direct      fr 2   0.78  0.07  

    2490      3158  direct      fr 3   0.53  0.00  
    2559      3158  direct      fr 3   0.60  0.99  
    2592      3158  direct      fr 3   0.62  0.26  
    2616      3158  direct      fr 3   0.60  0.01  
    2634      3158  direct      fr 3   0.58  0.03  

    3190      3903  direct      fr 1   0.88  0.98  
    3277      3903  direct      fr 1   0.94  0.45  
    3289      3903  direct      fr 1   0.94  0.59  
    3337      3903  direct      fr 1   0.94  0.02  

    4022      4810  direct      fr 2   0.52  0.92  
    4442      4810  direct      fr 2   0.53  0.13  
    4502      4810  direct      fr 2   0.62  0.91  
    4508      4810  direct      fr 2   0.62  0.87  
    4526      4810  direct      fr 2   0.64  0.89  
    4529      4810  direct      fr 2   0.64  0.70  
    4562      4810  direct      fr 2   0.60  0.05  

    4750      5163  complement  fr 3   0.52  0.26  

    5618      7108  direct      fr 2   0.65  0.94  
    5636      7108  direct      fr 2   0.65  0.74  
    5642      7108  direct      fr 2   0.64  0.13  

    7170      7832  complement  fr 2   0.62  0.14  
    7170      7811  complement  fr 2   0.64  0.59  
    7170      7790  complement  fr 2   0.65  0.33  
    7170      7700  complement  fr 2   0.63  0.01  
    7170      7640  complement  fr 2   0.59  0.95  
    7170      7628  complement  fr 2   0.58  0.98  

    8165     10060  direct      fr 2   0.79  0.37  
    8219     10060  direct      fr 2   0.80  0.55  
