                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM80076v1:Chromosome:1:4558660:1 REF
Sequence file: seq.fna
Sequence length: 4558660
GC Content:  50.80%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Staphylococcus_aureus_Mu50
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

     337      2799  direct      fr 1   0.50  0.94  
     343      2799  direct      fr 1   0.50  0.75  
     367      2799  direct      fr 1   0.51  0.23  
     433      2799  direct      fr 1   0.51  0.00  
     478      2799  direct      fr 1   0.51  0.64  
     484      2799  direct      fr 1   0.52  0.32  
     721      2799  direct      fr 1   0.55  0.37  
     736      2799  direct      fr 1   0.55  0.79  

    3734      5020  direct      fr 2   0.50  0.08  
    3869      5020  direct      fr 2   0.56  0.00  
    3959      5020  direct      fr 2   0.60  0.25  
    4073      5020  direct      fr 2   0.59  0.22  
    4082      5020  direct      fr 2   0.58  0.00  
    4112      5020  direct      fr 2   0.57  0.00  

    4594      4731  direct      fr 1   0.50  0.77  

    5683      6132  complement  fr 3   0.52  0.01  
    5683      6090  complement  fr 3   0.56  0.05  
    5683      6069  complement  fr 3   0.59  0.27  
    5683      5964  complement  fr 3   0.54  0.07  
    5683      5961  complement  fr 3   0.54  0.12  
    5683      5886  complement  fr 3   0.55  0.00  
    5683      5817  complement  fr 3   0.52  0.12  

    6525      6698  direct      fr 3   0.55  0.67  
    6594      6698  direct      fr 3   0.66  0.38  

    8175      9191  direct      fr 3   0.55  0.00  
    8238      9191  direct      fr 3   0.59  0.00  
    8280      9191  direct      fr 3   0.61  0.01  
    8307      9191  direct      fr 3   0.64  0.03  
    8448      9191  direct      fr 3   0.61  0.00  
    8751      9191  direct      fr 3   0.69  0.02  
    8844      9191  direct      fr 3   0.67  0.01  
    8898      9191  direct      fr 3   0.61  0.13  

    9513      9893  direct      fr 3   0.51  0.31  
    9741      9893  direct      fr 3   0.58  0.05  
    9765      9893  direct      fr 3   0.52  0.00  

   10643     10810  complement  fr 1   0.53  0.11  

   12163     14079  direct      fr 1   0.73  0.15  
   12217     14079  direct      fr 1   0.76  0.01  
   12238     14079  direct      fr 1   0.76  0.12  
