                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM73042v1:Chromosome:1:6064456:1 REF
Sequence file: seq.fna
Sequence length: 6064456
GC Content:  60.13%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Staphylococcus_aureus_Mu50
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

    6438      6785  direct      fr 3   0.60  0.01  
    6489      6785  direct      fr 3   0.64  0.15  
    6534      6785  direct      fr 3   0.71  0.36  
    6546      6785  direct      fr 3   0.70  0.96  
    6567      6785  direct      fr 3   0.68  0.17  

    7880      7960  direct      fr 2   0.59  0.97  
    7895      7960  direct      fr 2   0.54  0.90  

    8053      8244  direct      fr 1   0.55  0.78  

   12575     12655  direct      fr 2   0.61  0.01  

   14107     14424  complement  fr 3   0.51  0.08  

   14500     14973  complement  fr 3   0.58  0.01  
   14500     14919  complement  fr 3   0.62  0.01  
   14500     14757  complement  fr 3   0.68  0.28  
   14500     14682  complement  fr 3   0.56  0.03  

   15001     16047  complement  fr 3   0.53  0.00  
   15001     15885  complement  fr 3   0.53  0.72  
   15001     15756  complement  fr 3   0.56  0.00  

   16318     16542  complement  fr 3   0.56  0.79  

   19382     19534  complement  fr 1   0.53  0.00  

   19480     19854  direct      fr 1   0.61  0.98  

   22756     23031  complement  fr 3   0.67  0.01  

   23221     23355  complement  fr 3   0.53  0.44  

   24313     24432  direct      fr 1   0.60  0.70  

   24540     24743  complement  fr 2   0.51  0.35  
   24540     24713  complement  fr 2   0.57  0.17  

   29624     29902  complement  fr 1   0.54  1.00  

   32097     33329  direct      fr 3   0.58  0.01  
   32295     33329  direct      fr 3   0.59  0.01  
   32499     33329  direct      fr 3   0.62  0.17  
   32772     33329  direct      fr 3   0.60  0.01  
   32775     33329  direct      fr 3   0.60  0.01  
   32874     33329  direct      fr 3   0.71  0.09  

   36012     36338  complement  fr 2   0.54  0.49  

   37057     37344  direct      fr 1   0.54  0.00  
   37240     37344  direct      fr 1   0.93  0.94  

   38823     39047  complement  fr 2   0.75  0.83  

   39315     39494  complement  fr 2   0.56  0.49  

   43000     43242  direct      fr 1   0.60  0.57  

