                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM80076v1:Chromosome:1:4558660:1 REF
Sequence file: seq.fna
Sequence length: 4558660
GC Content:  50.80%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Escherichia_coli_K_12_substr__MG1655
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

     337      2799  direct      fr 1   0.95  0.15  
     343      2799  direct      fr 1   0.95  0.67  
     367      2799  direct      fr 1   0.95  0.95  
     433      2799  direct      fr 1   0.95  0.09  
     478      2799  direct      fr 1   0.95  0.14  

    2801      3733  direct      fr 2   0.90  0.49  
    2837      3733  direct      fr 2   0.94  0.96  
    2855      3733  direct      fr 2   0.95  0.46  
    2870      3733  direct      fr 2   0.95  0.04  
    3044      3733  direct      fr 2   0.94  0.25  

    3734      5020  direct      fr 2   0.95  0.96  
    3869      5020  direct      fr 2   0.96  0.08  
    3959      5020  direct      fr 2   0.95  0.02  

    5683      6459  complement  fr 3   0.90  0.41  
    5683      6312  complement  fr 3   0.88  0.02  
    5683      6132  complement  fr 3   0.88  0.87  

    6529      7959  complement  fr 3   0.79  0.03  
    6529      7911  complement  fr 3   0.81  0.09  
    6529      7857  complement  fr 3   0.84  0.13  
    6529      7746  complement  fr 3   0.86  0.57  
    6529      7677  complement  fr 3   0.86  0.79  
    6529      7653  complement  fr 3   0.85  0.71  

    8175      9191  direct      fr 3   0.87  0.00  
    8238      9191  direct      fr 3   0.92  0.58  
    8280      9191  direct      fr 3   0.96  0.54  
    8307      9191  direct      fr 3   0.97  0.26  
    8448      9191  direct      fr 3   0.97  0.27  
    8751      9191  direct      fr 3   0.94  0.01  

    9306      9893  direct      fr 3   0.84  0.26  
    9489      9893  direct      fr 3   0.88  0.01  
    9498      9893  direct      fr 3   0.88  0.00  
    9513      9893  direct      fr 3   0.88  0.05  

    9928     10494  complement  fr 3   0.88  0.99  
    9928     10452  complement  fr 3   0.90  0.15  
    9928     10440  complement  fr 3   0.90  0.01  
    9928     10410  complement  fr 3   0.89  0.03  

   10643     11356  complement  fr 1   0.79  0.03  
   10643     11227  complement  fr 1   0.90  0.12  
   10643     11203  complement  fr 1   0.89  0.08  
