                              GENEMARK PREDICTIONS

Sequence: Chromosome dna:chromosome chromosome:ASM52304v1:Chromosome:1:4043042:1 REF
Sequence file: seq.fna
Sequence length: 4043042
GC Content:  43.89%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Escherichia_coli_K_12_substr__MG1655
Matrix author: -
Matrix order: 4

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

    3235      3420  direct      fr 1   0.55  0.15  
    3271      3420  direct      fr 1   0.59  0.85  
    3289      3420  direct      fr 1   0.55  0.47  

    4213      4548  direct      fr 1   0.51  0.26  

    4851      6782  direct      fr 3   0.51  0.93  
    4860      6782  direct      fr 3   0.51  0.68  
    4866      6782  direct      fr 3   0.52  0.46  
    4947      6782  direct      fr 3   0.52  0.01  
    5127      6782  direct      fr 3   0.53  0.74  
    5154      6782  direct      fr 3   0.53  0.01  
    5160      6782  direct      fr 3   0.53  0.00  

    8271      9458  direct      fr 3   0.53  0.08  
    8382      9458  direct      fr 3   0.53  0.99  
    8601      9458  direct      fr 3   0.52  0.44  
    8688      9458  direct      fr 3   0.53  0.38  
    8940      9458  direct      fr 3   0.55  0.30  

   19061     19945  direct      fr 2   0.62  0.66  
   19097     19945  direct      fr 2   0.65  0.96  
   19106     19945  direct      fr 2   0.65  0.28  
   19127     19945  direct      fr 2   0.65  0.02  
   19187     19945  direct      fr 2   0.62  0.29  

   20759     22156  direct      fr 2   0.55  0.00  
   20822     22156  direct      fr 2   0.58  0.00  
   20828     22156  direct      fr 2   0.58  0.00  
   20870     22156  direct      fr 2   0.60  0.00  
   20879     22156  direct      fr 2   0.60  0.00  
   20894     22156  direct      fr 2   0.61  0.00  
   21059     22156  direct      fr 2   0.66  0.19  
   21104     22156  direct      fr 2   0.65  0.16  
   21155     22156  direct      fr 2   0.63  0.15  

   25851     26336  direct      fr 3   0.51  0.92  
   25872     26336  direct      fr 3   0.53  0.99  
   25920     26336  direct      fr 3   0.51  0.00  
   26016     26336  direct      fr 3   0.50  0.06  
   26082     26336  direct      fr 3   0.59  0.18  
   26103     26336  direct      fr 3   0.59  0.07  

   28561     28851  direct      fr 1   0.52  0.03  
   28570     28851  direct      fr 1   0.52  0.05  
